"YEAR","MONTH","DAY","AVG_TSFC_F","MAX_TSFC_F","MIN_TSFC_F","AVG_TDEW_F","MAX_TDEW_F","MIN_TDEW_F","AVG_RH_PCT","MAX_RH_PCT","MIN_RH_PCT","AVG_CLDCOV_PCT","MAX_CLDCOV_PCT","MIN_CLDCOV_PCT","AVG_TAPP_F","MAX_TAPP_F","MIN_TAPP_F","TOT_PCPPREVHR_IN","AVG_SPD_MPH","MAX_SPD_MPH","MIN_SPD_MPH","AVG_TSFC_F_DIFF1","MAX_TSFC_F_DIFF1","MIN_TSFC_F_DIFF1","AVG_TDEW_F_DIFF1","MAX_TDEW_F_DIFF1","MIN_TDEW_F_DIFF1","AVG_RH_PCT_DIFF1","MAX_RH_PCT_DIFF1","MIN_RH_PCT_DIFF1","AVG_CLDCOV_PCT_DIFF1","MAX_CLDCOV_PCT_DIFF1","MIN_CLDCOV_PCT_DIFF1","AVG_TAPP_F_DIFF1","MAX_TAPP_F_DIFF1","MIN_TAPP_F_DIFF1","TOT_PCPPREVHR_IN_DIFF1","AVG_SPD_MPH_DIFF1","MAX_SPD_MPH_DIFF1","MIN_SPD_MPH_DIFF1","AVG_TSFC_F_DIFF2","MAX_TSFC_F_DIFF2","MIN_TSFC_F_DIFF2","AVG_TDEW_F_DIFF2","MAX_TDEW_F_DIFF2","MIN_TDEW_F_DIFF2","AVG_RH_PCT_DIFF2","MAX_RH_PCT_DIFF2","MIN_RH_PCT_DIFF2","AVG_CLDCOV_PCT_DIFF2","MAX_CLDCOV_PCT_DIFF2","MIN_CLDCOV_PCT_DIFF2","AVG_TAPP_F_DIFF2","MAX_TAPP_F_DIFF2","MIN_TAPP_F_DIFF2","TOT_PCPPREVHR_IN_DIFF2","AVG_SPD_MPH_DIFF2","MAX_SPD_MPH_DIFF2","MIN_SPD_MPH_DIFF2"
2003,1,11,14.53,19.4,8.6,3.4,6.2,0.4,55,66,41,5,16,1,-0.06,6.4,-8.4,0,13,20,8,-8.17,-9,-7.2,-7.33,-9.5,-5.8,1,-7,-2,-80,-84,-20,-9.52,-10.6,-9.8,0,-2,-3,-2,-22.5,-23.4,-21.6,-21,-22.1,-15.3,-5,-14,-8,-48,-84,0,-28.26,-30.6,-27.7,-0.05,-1,-1,-2
2003,1,12,21.28,32,10.4,8.9,13.9,4,55,78,34,4,12,0,10.92,23,2.2,0,11,20,5,6.75,12.6,1.8,5.5,7.7,3.6,0,12,-7,-1,-4,-1,10.98,16.6,10.6,0,-2,0,-3,-1.42,3.6,-5.4,-1.83,-1.8,-2.2,1,5,-9,-81,-88,-21,1.46,6,0.8,0,-4,-3,-5
2003,1,13,23.53,28.4,19.4,7.79,17.5,1.2,47,72,32,53,98,0,12.38,19.7,5,0,12,20,7,2.25,-3.6,9,-1.11,3.6,-2.8,-8,-6,-2,49,86,0,1.46,-3.3,2.8,0,1,0,2,9,9,10.8,4.39,11.3,0.8,-8,6,-9,48,82,-1,12.44,13.3,13.4,0,-1,0,-1
2003,1,14,15.13,19.4,10.4,8.29,13.9,0.6,68,86,56,40,100,0,2.05,10.4,-6.1,0,11,17,7,-8.4,-9,-9,0.5,-3.6,-0.6,21,14,24,-13,2,0,-10.33,-9.3,-11.1,0,-1,-3,0,-6.15,-12.6,0,-0.61,0,-3.4,13,8,22,36,88,0,-8.87,-12.6,-8.3,0,0,-3,2
2003,1,15,12.43,21.2,5,2.96,9.4,-1.6,60,79,41,32,87,3,0.33,11.7,-10.8,0,9,14,3,-2.7,1.8,-5.4,-5.33,-4.5,-2.2,-8,-7,-15,-8,-13,3,-1.72,1.3,-4.7,0,-2,-3,-4,-11.1,-7.2,-14.4,-4.83,-8.1,-2.8,13,7,9,-21,-11,3,-12.05,-8,-15.8,0,-3,-6,-4
2003,1,16,20.15,24.8,15.8,8.93,11,4.6,55,73,45,77,100,10,10.6,16,4.3,0,8,16,3,7.72,3.6,10.8,5.97,1.6,6.2,-5,-6,4,45,13,7,10.27,4.3,15.1,0,-1,2,0,5.02,5.4,5.4,0.64,-2.9,4,-13,-13,-11,37,0,10,8.55,5.6,10.4,0,-3,-1,-4
2003,1,17,16.1,24.8,10.4,5.04,9.4,0.6,55,67,42,62,100,0,3,17.2,-5.4,0.01,12,18,5,-4.05,0,-5.4,-3.89,-1.6,-4,0,-6,-3,-15,0,-10,-7.6,1.2,-9.7,0.01,4,2,2,3.67,3.6,5.4,2.08,0,2.2,-5,-12,1,30,13,-3,2.67,5.5,5.4,0.01,3,4,2
2003,1,18,13.4,21.2,6.8,6.89,17.5,-1.4,71,86,61,68,97,0,-0.45,11.5,-10,0.01,12,15,6,-2.7,-3.6,-3.6,1.85,8.1,-2,16,19,19,6,-3,0,-3.45,-5.7,-4.6,0,0,-3,1,-6.75,-3.6,-9,-2.04,6.5,-6,16,13,16,-9,-3,-10,-11.05,-4.5,-14.3,0.01,4,-1,3
2003,1,19,15.88,28.4,3.2,8.95,19.3,-1.7,71,85,59,61,100,3,2.69,17.5,-14.6,0.03,12,18,7,2.48,7.2,-3.6,2.06,1.8,-0.3,0,-1,-2,-7,3,3,3.14,6,-4.6,0.02,0,3,1,-0.22,3.6,-7.2,3.91,9.9,-2.3,16,18,17,-1,0,3,-0.31,0.3,-9.2,0.02,0,0,2
2003,1,20,17.86,24.8,14,3.65,13.9,-0.4,46,69,38,76,100,19,5.85,14,-0.9,0,10,16,7,1.98,-3.6,10.8,-5.3,-5.4,1.3,-25,-16,-21,15,0,16,3.16,-3.5,13.7,-0.03,-2,-2,0,4.46,3.6,7.2,-3.24,-3.6,1,-25,-17,-23,8,3,19,6.3,2.5,9.1,-0.01,-2,1,1
2003,1,21,13.48,17.6,8.6,-3.3,2.9,-5.7,41,56,29,24,75,0,0.6,8.6,-7.7,0,10,16,6,-4.38,-7.2,-5.4,-6.95,-11,-5.3,-5,-13,-9,-52,-25,-19,-5.25,-5.4,-6.8,0,0,0,-1,-2.4,-10.8,5.4,-12.25,-16.4,-4,-30,-29,-30,-37,-25,-3,-2.09,-8.9,6.9,-0.03,-2,-2,-1
2003,1,22,10.03,14,5,-4.93,-2,-8,46,55,40,48,96,1,-5.22,2,-14.7,0,12,18,8,-3.45,-3.6,-3.6,-1.63,-4.9,-2.3,5,-1,11,24,21,1,-5.82,-6.6,-7,0,2,2,2,-7.83,-10.8,-9,-8.58,-15.9,-7.6,0,-14,2,-28,-4,-18,-11.07,-12,-13.8,0,2,2,1
2003,1,23,4.93,12.2,-2.2,-9.34,-5.7,-13.6,47,55,37,55,81,16,-12.38,-1.8,-24.1,0,13,18,8,-5.1,-1.8,-7.2,-4.41,-3.7,-5.6,1,0,-3,7,-15,15,-7.16,-3.8,-9.4,0,1,0,0,-8.55,-5.4,-10.8,-6.04,-8.6,-7.9,6,-1,8,31,6,16,-12.98,-10.4,-16.4,0,3,2,2
2003,1,24,10.18,15.8,3.2,-2.11,7.8,-6.6,52,67,34,65,96,23,-3.48,2.7,-11.3,0,10,15,6,5.25,3.6,5.4,7.23,13.5,7,5,12,-3,10,15,7,8.9,4.5,12.8,0,-3,-3,-2,0.15,1.8,-1.8,2.82,9.8,1.4,6,12,-6,17,0,22,1.74,0.7,3.4,0,-2,-3,-2
2003,1,25,23.38,33.8,15.8,12.45,24.7,6.2,59,86,40,94,100,78,11.94,25.8,0.9,0.09,12,18,8,13.2,18,12.6,14.56,16.9,12.8,7,19,6,29,4,55,15.42,23.1,12.2,0.09,2,3,2,18.45,21.6,18,21.79,30.4,19.8,12,31,3,39,19,62,24.32,27.6,25,0.09,-1,0,0
2003,1,26,11.38,21.2,6.8,-0.44,13.9,-6.2,54,79,44,51,100,20,-3.32,8.9,-10.7,0,12,18,5,-12,-12.6,-9,-12.89,-10.8,-12.4,-5,-7,4,-43,0,-58,-15.26,-16.9,-11.6,-0.09,0,0,-3,1.2,5.4,3.6,1.67,6.1,0.4,2,12,10,-14,4,-3,0.16,6.2,0.6,0,2,3,-1
2003,1,27,10.25,19.4,1.4,0.99,9.4,-6.8,60,78,51,74,100,18,-2.64,6,-8.3,0,11,21,3,-1.13,-1.8,-5.4,1.43,-4.5,-0.6,6,-1,7,23,0,-2,0.68,-2.9,2.4,0,-1,3,-2,-13.13,-14.4,-14.4,-11.46,-15.3,-13,1,-8,11,-20,0,-60,-14.58,-19.8,-9.2,-0.09,-1,3,-5
2003,1,28,26.83,33.8,19.4,19.6,26.5,11,73,93,58,99,100,99,18.98,33.8,6.6,0.2,7,13,1,16.58,14.4,18,18.61,17.1,17.8,13,15,7,25,0,81,21.62,27.8,14.9,0.2,-4,-8,-2,15.45,12.6,12.6,20.04,12.6,17.2,19,14,14,48,0,79,22.3,24.9,17.3,0.2,-5,-5,-4
2003,1,29,25.85,28.4,21.2,19.6,24.7,15.7,77,93,68,95,100,68,17.09,22.8,14,0.01,9,16,1,-0.98,-5.4,1.8,0,-1.8,4.7,4,0,10,-4,0,-31,-1.89,-11,7.4,-0.19,2,3,0,15.6,9,19.8,18.61,15.3,22.5,17,15,17,21,0,50,19.73,16.8,22.3,0.01,-2,-5,-2
2003,1,30,26.3,30.2,23,19.3,24.7,15.7,75,80,68,54,100,2,16.65,19.3,13.8,0,10,17,5,0.45,1.8,1.8,-0.3,0,0,-2,-13,0,-41,0,-66,-0.44,-3.5,-0.2,-0.01,1,1,4,-0.53,-3.6,3.6,-0.3,-1.8,4.7,2,-13,10,-45,0,-97,-2.33,-14.5,7.2,-0.2,3,4,4
2003,1,31,34.03,35.6,30.2,30.53,33.6,24.7,87,100,69,99,100,98,25.55,29.6,19.7,0.16,12,16,5,7.73,5.4,7.2,11.23,8.9,9,12,20,1,45,0,96,8.9,10.3,5.9,0.16,2,-1,0,8.18,7.2,9,10.93,8.9,9,10,7,1,4,0,30,8.46,6.8,5.7,0.15,3,0,4
2003,2,1,33.2,33.8,32,28.6,31.9,26.5,83,93,75,99,100,97,26.7,28.7,24.8,0.03,7,10,3,-0.83,-1.8,1.8,-1.93,-1.7,1.8,-4,-7,6,0,0,-1,1.15,-0.9,5.1,-0.13,-5,-6,-2,6.9,3.6,9,9.3,7.2,10.8,8,13,7,45,0,95,10.05,9.4,11,0.03,-3,-7,-2
2003,2,2,35.38,37.4,33.8,32.8,33.7,31.9,90,100,81,99,100,95,28.57,31.7,26.2,0.08,9,15,3,2.18,3.6,1.8,4.2,1.8,5.4,7,7,6,0,0,-2,1.87,3,1.4,0.05,2,5,0,1.35,1.8,3.6,2.27,0.1,7.2,3,0,12,0,0,-3,3.02,2.1,6.5,-0.08,-3,-1,-2
2003,2,3,39.05,44.6,33.8,37.2,44.4,28.3,93,100,80,100,100,100,33.23,42.2,22.8,0.3,8,18,3,3.67,7.2,0,4.4,10.7,-3.6,3,0,-1,1,0,5,4.66,10.5,-3.4,0.22,-1,3,0,5.85,10.8,1.8,8.6,12.5,1.8,10,7,5,1,0,3,6.53,13.5,-2,0.27,1,8,0
2003,2,4,22.55,33.8,10.4,14.54,26.5,0.6,67,86,52,100,100,100,8.35,23.1,-6.1,0.02,18,22,13,-16.5,-10.8,-23.4,-22.66,-17.9,-27.7,-26,-14,-28,0,0,0,-24.88,-19.1,-28.9,-0.28,10,4,10,-12.83,-3.6,-23.4,-18.26,-7.2,-31.3,-23,-14,-29,1,0,5,-20.22,-8.6,-32.3,-0.06,9,7,10
2003,2,5,17,26.6,8.6,5.41,13.6,-1,55,66,45,32,100,0,6.23,17.5,-4.8,0,8,13,6,-5.55,-7.2,-1.8,-9.13,-12.9,-1.6,-12,-20,-7,-68,0,-100,-2.12,-5.6,1.3,-0.02,-10,-9,-7,-22.05,-18,-25.2,-31.79,-30.8,-29.3,-38,-34,-35,-68,0,-100,-27,-24.7,-27.6,-0.3,0,-5,3
2003,2,6,27.47,33.8,19.4,16.33,26.7,9.4,61,76,40,87,100,76,18.68,27.7,7.2,0,9,17,5,10.47,7.2,10.8,10.92,13.1,10.4,6,10,-5,55,0,76,12.45,10.2,12,0,1,4,-1,4.92,0,9,1.79,0.2,8.8,-6,-10,-12,-13,0,-24,10.33,4.6,13.3,-0.02,-9,-5,-8
2003,2,7,13.33,17.6,8.6,3.72,9.4,-2.6,60,78,48,63,100,1,-0.59,5,-6.3,0,12,17,9,-14.14,-16.2,-10.8,-12.61,-17.3,-12,-1,2,8,-24,0,-75,-19.27,-22.7,-13.5,0,3,0,4,-3.67,-9,0,-1.69,-4.2,-1.6,5,12,3,31,0,1,-6.82,-12.5,-1.5,0,4,4,3
2003,2,8,20.6,30.2,10.4,10.13,17.5,-2.6,60,73,47,52,100,0,7.44,20.2,-4.1,0,14,18,9,7.27,12.6,1.8,6.41,8.1,0,0,-5,-1,-11,0,-1,8.03,15.2,2.2,0,2,1,0,-6.87,-3.6,-9,-6.2,-9.2,-12,-1,-3,7,-35,0,-76,-11.24,-7.5,-11.3,0,5,1,4
2003,2,9,16.48,26.6,6.8,1.42,11,-2.8,46,66,29,48,100,3,5.15,16.4,-5.9,0,9,17,3,-4.12,-3.6,-3.6,-8.71,-6.5,-0.2,-14,-7,-18,-4,0,3,-2.29,-3.8,-1.8,0,-5,-1,-6,3.15,9,-1.8,-2.3,1.6,-0.2,-14,-12,-19,-15,0,2,5.74,11.4,0.4,0,-3,0,-6
2003,2,10,21.8,28.4,10.4,11.89,21.1,-1,63,86,44,92,100,72,9.76,17.5,-1.8,0.01,13,21,7,5.32,1.8,3.6,10.47,10.1,1.8,17,20,15,44,0,69,4.61,1.1,4.1,0.01,4,4,4,1.2,-1.8,0,1.76,3.6,1.6,3,13,-3,40,0,72,2.32,-2.7,2.3,0.01,-1,3,-2
2003,2,11,17.53,32,6.8,6.3,24.7,-6.2,57,80,47,67,100,19,3.35,19.5,-10,0.11,15,26,5,-4.27,3.6,-3.6,-5.59,3.6,-5.2,-6,-6,3,-25,0,-53,-6.41,2,-8.2,0.1,2,5,-2,1.05,5.4,0,4.88,13.7,-3.4,11,14,18,19,0,16,-1.8,3.1,-4.1,0.11,6,9,2
2003,2,12,14.23,21.2,5,1.65,6.2,-4.8,51,66,41,25,100,2,-1.02,8.3,-13.6,0,15,24,10,-3.3,-10.8,-1.8,-4.65,-18.5,1.4,-6,-14,-6,-42,0,-17,-4.37,-11.2,-3.6,-0.11,0,-2,5,-7.57,-7.2,-5.4,-10.24,-14.9,-3.8,-12,-20,-3,-67,0,-70,-10.78,-9.2,-11.8,-0.01,2,3,3
2003,2,13,22.25,32,12.2,9.27,15.7,2.4,52,68,39,1,7,0,13.1,24.8,-0.2,0,8,12,0,8.02,10.8,7.2,7.62,9.5,7.2,1,2,-2,-24,-93,-2,14.12,16.5,13.4,0,-7,-12,-10,4.72,0,5.4,2.97,-9,8.6,-5,-12,-8,-66,-93,-19,9.75,5.3,9.8,-0.11,-7,-14,-5
2003,2,14,28.4,33.8,19.4,20.26,26.5,13.6,72,93,55,85,100,30,20.06,27.7,14.9,0.19,10,20,3,6.15,1.8,7.2,10.99,10.8,11.2,20,25,16,84,93,30,6.96,2.9,15.1,0.19,2,8,3,14.17,12.6,14.4,18.61,20.3,18.4,21,27,14,60,0,28,21.08,19.4,28.5,0.19,-5,-4,-7
2003,2,15,23.83,28.4,19.4,15.53,26.5,11,69,93,62,100,100,100,8.17,15,1.8,0.04,23,29,21,-4.57,-5.4,0,-4.73,0,-2.6,-3,0,7,15,0,70,-11.89,-12.7,-13.1,-0.15,13,9,18,1.58,-3.6,7.2,6.26,10.8,8.6,17,25,23,99,93,100,-4.93,-9.8,2,0.04,15,17,21
2003,2,16,21.95,26.6,17.6,13.35,17.5,11,64,74,58,97,100,93,6.66,13.4,0.1,0,20,25,16,-1.88,-1.8,-1.8,-2.18,-9,0,-5,-19,-4,-3,0,-7,-1.51,-1.6,-1.7,-0.04,-3,-4,-5,-6.45,-7.2,-1.8,-6.91,-9,-2.6,-8,-19,3,12,0,63,-13.4,-14.3,-14.8,-0.19,10,5,13
2003,2,17,25.36,30.2,21.2,19.84,22.9,15.7,79,93,69,99,100,95,15.92,23.4,6.4,0,9,18,3,3.41,3.6,3.6,6.49,5.4,4.7,15,19,11,2,0,2,9.26,10,6.3,0,-11,-7,-13,1.53,1.8,1.8,4.31,-3.6,4.7,10,0,7,-1,0,-5,7.75,8.4,4.6,-0.04,-14,-11,-18
2003,2,18,30.2,35.6,24.8,25.83,30.1,21.1,84,93,75,96,100,88,20.54,27.5,14.6,0,12,17,7,4.84,5.4,3.6,5.99,7.2,5.4,5,0,6,-3,0,-7,4.62,4.1,8.2,0,3,-1,4,8.25,9,7.2,12.48,12.6,10.1,20,19,17,-1,0,-5,13.88,14.1,14.5,0,-8,-8,-9
2003,2,19,33.2,39.2,26.6,20.5,30.1,13.9,60,86,44,56,100,2,25.86,33.6,17.5,0,8,12,5,3,3.6,1.8,-5.33,0,-7.2,-24,-7,-31,-40,0,-86,5.32,6.1,2.9,0,-4,-5,-2,7.84,9,5.4,0.66,7.2,-1.8,-19,-7,-25,-43,0,-93,9.94,10.2,11.1,0,-1,-6,2
2003,2,20,37.33,48.2,28.4,23,28.3,19.4,58,75,32,6,39,0,30.85,42.6,21.2,0,10,18,6,4.13,9,1.8,2.5,-1.8,5.5,-2,-11,-12,-50,-61,-2,4.99,9,3.7,0,2,6,1,7.13,12.6,3.6,-2.83,-1.8,-1.7,-26,-18,-43,-90,-61,-88,10.31,15.1,6.6,0,-2,1,-1
2003,2,21,37.18,48.2,28.4,25.7,31.9,17.6,66,87,29,84,100,43,32.58,44.1,22.2,0,6,10,3,-0.15,0,0,2.7,3.6,-1.8,8,12,-3,78,61,43,1.73,1.5,1,0,-4,-8,-3,3.98,9,1.8,5.2,1.8,3.7,6,1,-15,28,0,41,6.72,10.5,4.7,0,-2,-2,-2
2003,2,22,31.03,35.6,23,26.2,31.9,17.5,82,93,74,100,100,100,19.58,30.8,7.6,0,18,28,3,-6.15,-12.6,-5.4,0.5,0,-0.1,16,6,45,16,0,57,-13,-13.3,-14.6,0,12,18,0,-6.3,-12.6,-5.4,3.2,3.6,-1.9,24,18,42,94,61,100,-11.27,-11.8,-13.6,0,8,10,-3
2003,2,23,20.68,26.6,14,10.73,13.6,6.1,59,68,42,99,100,97,9.53,24.8,-1.4,0,11,20,1,-10.35,-9,-9,-15.47,-18.3,-11.4,-23,-25,-32,-1,0,-3,-10.05,-6,-9,0,-7,-8,-2,-16.5,-21.6,-14.4,-14.97,-18.3,-11.5,-7,-19,13,15,0,54,-23.05,-19.3,-23.6,0,5,10,-2
2003,2,24,18.2,24.8,12.2,12.01,17.5,0.9,71,86,56,89,100,51,6.15,17.9,-2.5,0.05,11,20,3,-2.48,-1.8,-1.8,1.28,3.9,-5.2,12,18,14,-10,0,-46,-3.38,-6.9,-1.1,0.05,0,0,2,-12.83,-10.8,-10.8,-14.19,-14.4,-16.6,-11,-7,-18,-11,0,-49,-13.43,-12.9,-10.1,0.05,-7,-8,0
2003,2,25,15.6,17.6,12.7,7.28,13.5,1.2,64,84,41,47,100,10,10,14.8,7.3,0,3,8,1,-2.6,-7.2,0.5,-4.73,-4,0.3,-7,-2,-15,-42,0,-41,3.85,-3.1,9.8,-0.05,-8,-12,-2,-5.08,-9,-1.3,-3.45,-0.1,-4.9,5,16,-1,-52,0,-87,0.47,-10,8.7,0,-8,-12,0
2003,2,26,20.78,28.4,14,10.85,18.4,7.8,59,73,39,5,14,0,12.72,20.4,5.1,0,6,13,2,5.18,10.8,1.3,3.57,4.9,6.6,-5,-11,-2,-42,-86,-10,2.72,5.6,-2.2,0,3,5,1,2.58,3.6,1.8,-1.16,0.9,6.9,-12,-13,-17,-84,-86,-51,6.57,2.5,7.6,-0.05,-5,-7,-1
2003,2,27,24.28,30.2,17.6,12.72,17.5,9.4,57,67,43,2,9,0,17.01,22.5,10.4,0,6,13,3,3.5,1.8,3.6,1.87,-0.9,1.6,-2,-6,4,-3,-5,0,4.29,2.1,5.3,0,0,0,1,8.68,12.6,4.9,5.44,4,8.2,-7,-17,2,-45,-91,-10,7.01,7.7,3.1,0,3,5,2
2003,2,28,29.83,39.2,19.4,15.46,19.3,11.1,56,93,28,53,100,4,25.56,35.9,14.3,0,4,10,1,5.55,9,1.8,2.74,1.8,1.7,-1,26,-15,51,91,4,8.55,13.4,3.9,0,-2,-3,-2,9.05,10.8,5.4,4.61,0.9,3.3,-3,20,-11,48,86,4,12.84,15.5,9.2,0,-2,-3,-1
2003,3,1,33.08,37.4,28.4,24.21,32.9,17.5,71,94,52,68,97,10,26.84,32.8,22.1,0.01,7,16,3,3.25,-1.8,9,8.75,13.6,6.4,15,1,24,15,-3,6,1.28,-3.1,7.8,0.01,3,6,2,8.8,7.2,10.8,11.49,15.4,8.1,14,27,9,66,88,10,9.83,10.3,11.7,0.01,1,3,0
2003,3,2,23.87,32.7,15.8,17.98,30.6,6.2,74,92,57,98,100,91,10.92,21.8,3.4,0.05,16,32,7,-9.21,-4.7,-12.6,-6.23,-2.3,-11.3,3,-2,5,30,3,81,-15.92,-11,-18.7,0.04,9,16,4,-5.96,-6.5,-3.6,2.52,11.3,-4.9,18,-1,29,45,0,87,-14.64,-14.1,-10.9,0.05,12,22,6
2003,3,3,20.75,30.2,12.2,14.23,26.5,4,72,93,54,91,100,73,9.35,21.9,-3.2,0.09,11,16,5,-3.12,-2.5,-3.6,-3.75,-4.1,-2.2,-2,1,-3,-7,0,-18,-1.57,0.1,-6.6,0.04,-5,-16,-2,-12.33,-7.2,-16.2,-9.98,-6.4,-13.5,1,-1,2,23,3,63,-17.49,-10.9,-25.3,0.08,4,0,2
2003,3,4,30.8,35.6,26.6,25.41,30.9,19.3,81,93,55,71,100,26,23.11,30.8,13,0.48,9,20,3,10.05,5.4,14.4,11.18,4.4,15.3,9,0,1,-20,0,-47,13.76,8.9,16.2,0.39,-2,4,-2,6.93,2.9,10.8,7.43,0.3,13.1,7,1,-2,-27,0,-65,12.19,9,9.6,0.43,-7,-12,-4
