WsWaIdx,SiteName,Month,Day,Year,avg_Tsfc_F,max_Tsfc_F,min_Tsfc_F,tot_Tsfc_F,avg_Tdew_F,max_Tdew_F,min_Tdew_F,tot_Tdew_F,avg_Twet_F,max_Twet_F,min_Twet_F,tot_Twet_F,avg_Rh_PCT,max_Rh_PCT,min_Rh_PCT,tot_Rh_PCT,avg_Psfc_MB,max_Psfc_MB,min_Psfc_MB,tot_Psfc_MB,avg_CldCov_PCT,max_CldCov_PCT,min_CldCov_PCT,tot_CldCov_PCT,avg_Twc_F,max_Twc_F,min_Twc_F,tot_Twc_F,avg_Tapp_F,max_Tapp_F,min_Tapp_F,tot_Tapp_F,avg_Spd_KTS,max_Spd_KTS,min_Spd_KTS,tot_Spd_KTS,avg_Dir_DEG,max_Dir_DEG,min_Dir_DEG,tot_Dir_DEG,avg_PcpPrevHr_IN,max_PcpPrevHr_IN,min_PcpPrevHr_IN,tot_PcpPrevHr_IN,avg_DnSol_WsqM,max_DnSol_WsqM,min_DnSol_WsqM,tot_DnSol_WsqM,avg_DiffHorz_WsqM,max_DiffHorz_WsqM,min_DiffHorz_WsqM,tot_DiffHorz_WsqM,avg_DirNormIr_WsqM,max_DirNormIr_WsqM,min_DirNormIr_WsqM,tot_DirNormIr_WsqM,avg_Spd_MPH,max_Spd_MPH,min_Spd_MPH,tot_Spd_MPH
39899,KMDW,1,16,2003,20.150000,24.8,15.8,483.6,8.930000,11.0,4.6,214.4,17.050000,20.5,13.9,409.3,55,73,45,1320,999.560000,1004.5,995.5,23989.4,77,100,10,1866,10.600000,16.0,4.3,254.5,10.600000,16.0,4.3,254.5,7,14,3,180,290,310,260,6970,0.000000,0.00,0.00,0.00,51,241,0,1246,46,205,0,1127,11,79,0,285,8,16,3,214
39899,KMDW,1,17,2003,16.100000,24.8,10.4,386.4,5.040000,9.4,0.6,121.0,13.450000,20.2,8.6,322.8,55,67,42,1331,1001.060000,1003.9,997.5,24025.5,62,100,0,1499,3.000000,17.2,-5.4,72.0,3.000000,17.2,-5.4,72.0,10,16,4,252,291,340,220,7000,0.000000,0.01,0.00,0.01,58,246,0,1412,50,208,0,1201,22,121,0,540,12,18,5,292
39899,KMDW,1,18,2003,13.400000,21.2,6.8,321.6,6.890000,17.5,-1.4,165.4,11.900000,20.2,5.4,285.6,71,86,61,1710,991.410000,997.5,987.9,23793.8,68,97,0,1654,-0.450000,11.5,-10.0,-10.7,-0.450000,11.5,-10.0,-10.7,10,13,5,247,247,310,210,5950,0.000000,0.01,0.00,0.01,56,266,0,1348,49,214,0,1177,16,113,0,406,12,15,6,289
39899,KMDW,1,19,2003,15.880000,28.4,3.2,381.0,8.950000,19.3,-1.7,214.8,14.170000,25.6,2.5,340.0,71,85,59,1727,989.130000,993.9,983.9,23739.0,61,100,3,1487,2.690000,17.5,-14.6,64.5,2.690000,17.5,-14.6,64.5,10,16,6,254,247,330,220,5950,0.000000,0.02,0.00,0.03,79,374,0,1911,41,192,0,988,105,636,0,2521,12,18,7,295
39899,KMDW,1,20,2003,17.860000,24.8,14.0,428.7,3.650000,13.9,-0.4,87.6,14.600000,21.9,11.2,350.5,46,69,38,1120,994.500000,997.9,987.6,23868.1,76,100,19,1839,5.850000,14.0,-0.9,140.3,5.850000,14.0,-0.9,140.3,9,14,6,226,315,360,290,7570,0.000000,0.00,0.00,0.00,62,272,0,1511,51,218,0,1238,29,192,0,707,10,16,7,261
39899,KMDW,1,21,2003,13.480000,17.6,8.6,323.4,-3.300000,2.9,-5.7,-79.3,10.340000,14.2,6.7,248.1,41,56,29,1002,1001.230000,1003.2,998.2,24029.6,24,75,0,599,0.600000,8.6,-7.7,14.5,0.600000,8.6,-7.7,14.5,9,14,5,220,325,360,290,7820,0.000000,0.00,0.00,0.00,98,442,0,2358,34,174,0,830,166,823,0,4000,10,16,6,255
39899,KMDW,1,22,2003,10.030000,14.0,5.0,240.6,-4.930000,-2.0,-8.0,-118.3,7.510000,10.8,3.2,180.3,46,55,40,1104,1005.200000,1007.2,1002.9,24124.9,48,96,1,1164,-5.220000,2.0,-14.7,-125.2,-5.220000,2.0,-14.7,-125.2,11,16,7,266,328,350,300,7880,0.000000,0.00,0.00,0.00,78,355,0,1876,46,223,0,1121,85,548,0,2043,12,18,8,310
39899,KMDW,1,23,2003,4.930000,12.2,-2.2,118.2,-9.340000,-5.7,-13.6,-224.2,2.930000,9.2,-3.4,70.4,47,55,37,1148,1009.670000,1011.8,1007.2,24232.1,55,81,16,1321,-12.380000,-1.8,-24.1,-297.1,-12.380000,-1.8,-24.1,-297.1,12,16,7,292,310,340,280,7450,0.000000,0.00,0.00,0.00,78,329,0,1881,51,227,0,1242,72,464,0,1744,13,18,8,335
39899,KMDW,1,24,2003,10.180000,15.8,3.2,244.2,-2.110000,7.8,-6.6,-50.6,7.860000,13.3,1.8,188.7,52,67,34,1250,1008.710000,1011.8,1004.2,24209.1,65,96,23,1570,-3.480000,2.7,-11.3,-83.5,-3.480000,2.7,-11.3,-83.5,9,13,5,224,246,300,210,5910,0.000000,0.00,0.00,0.00,88,371,0,2117,47,205,0,1148,108,560,0,2608,10,15,6,262
39899,KMDW,1,25,2003,23.380000,33.8,15.8,561.0,12.450000,24.7,6.2,298.7,20.150000,28.1,13.3,483.6,59,86,40,1425,998.890000,1003.5,994.9,23973.3,94,100,78,2273,11.940000,25.8,0.9,286.6,11.940000,25.8,0.9,286.6,10,16,7,255,250,330,210,6000,0.000000,0.03,0.00,0.09,59,276,0,1437,48,226,0,1154,48,411,0,1166,12,18,8,294
39899,KMDW,1,26,2003,11.380000,21.2,6.8,273.0,-0.440000,13.9,-6.2,-10.5,9.200000,19.3,4.8,220.9,54,79,44,1315,1005.530000,1010.2,998.2,24132.6,51,100,20,1235,-3.320000,8.9,-10.7,-79.7,-3.320000,8.9,-10.7,-79.7,11,16,4,268,327,350,300,7850,0.000000,0.00,0.00,0.00,95,382,0,2302,49,203,0,1189,132,608,0,3174,12,18,5,310
39899,KMDW,1,27,2003,10.250000,19.4,1.4,246.0,0.990000,9.4,-6.8,23.7,8.360000,16.6,0.3,200.7,60,78,51,1458,1005.100000,1010.2,997.2,24122.4,74,100,18,1788,-2.640000,6.0,-8.3,-63.3,-2.640000,6.0,-8.3,-63.3,9,18,3,233,217,320,180,5230,0.000000,0.00,0.00,0.00,65,324,0,1572,48,234,0,1170,61,559,0,1472,11,21,3,269
39899,KMDW,1,28,2003,26.830000,33.8,19.4,643.8,19.600000,26.5,11.0,470.3,24.580000,29.5,16.9,589.8,73,93,58,1761,994.520000,996.5,992.2,23868.5,99,100,99,2397,18.980000,33.8,6.6,455.4,18.980000,33.8,6.6,455.4,6,11,1,162,197,360,0,4730,0.010000,0.03,0.00,0.20,36,266,0,884,34,227,0,832,12,228,0,308,7,13,1,187
39899,KMDW,1,29,2003,25.850000,28.4,21.2,620.4,19.600000,24.7,15.7,470.4,24.000000,27.1,19.7,576.1,77,93,68,1860,1002.980000,1006.2,996.2,24071.5,95,100,68,2292,17.090000,22.8,14.0,410.1,17.090000,22.8,14.0,410.1,8,14,1,198,275,360,0,6620,0.000000,0.01,0.00,0.01,67,268,0,1613,56,229,0,1361,40,332,0,965,9,16,1,227
39899,KMDW,1,30,2003,26.300000,30.2,23.0,631.2,19.300000,24.7,15.7,463.2,24.200000,28.3,21.4,580.8,75,80,68,1801,1000.680000,1005.2,994.6,24016.2,54,100,2,1309,16.650000,19.3,13.8,399.5,16.650000,19.3,13.8,399.5,9,15,4,224,196,240,170,4720,0.000000,0.00,0.00,0.00,120,509,0,2903,41,165,0,998,192,871,0,4608,10,17,5,261
39899,KMDW,1,31,2003,34.030000,35.6,30.2,816.6,30.530000,33.6,24.7,732.8,32.550000,34.0,28.3,781.3,87,100,69,2106,989.930000,994.2,987.2,23758.4,99,100,98,2391,25.550000,29.6,19.7,613.1,25.550000,29.6,19.7,613.1,10,14,4,251,228,330,180,5490,0.010000,0.04,0.00,0.16,36,273,0,875,34,233,0,833,3,80,0,94,12,16,5,292
39899,KMDW,2,1,2003,33.200000,33.8,32.0,796.8,28.600000,31.9,26.5,686.4,31.380000,32.9,30.0,753.2,83,93,75,1995,990.890000,992.6,988.9,23781.3,99,100,97,2381,26.700000,28.7,24.8,640.8,26.700000,28.7,24.8,640.8,6,9,3,159,239,330,160,5740,0.000000,0.02,0.00,0.03,64,278,0,1539,57,236,0,1375,14,90,0,354,7,10,3,182
39899,KMDW,2,2,2003,35.380000,37.4,33.8,849.0,32.800000,33.7,31.9,787.1,34.210000,35.8,32.9,821.1,90,100,81,2179,987.100000,988.9,983.2,23690.4,99,100,95,2377,28.570000,31.7,26.2,685.7,28.570000,31.7,26.2,685.7,8,13,3,194,106,190,30,2560,0.000000,0.05,0.00,0.08,46,224,0,1106,45,216,0,1083,2,17,0,51,9,15,3,225
39899,KMDW,2,3,2003,39.050000,44.6,33.8,937.2,37.200000,44.4,28.3,892.9,38.230000,44.6,31.7,917.6,93,100,80,2243,974.190000,982.9,968.6,23380.5,100,100,100,2400,33.230000,42.2,22.8,797.4,33.230000,42.2,22.8,797.4,7,16,3,187,215,340,90,5180,0.010000,0.04,0.00,0.30,14,65,0,349,14,65,0,349,0,0,0,0,8,18,3,215
39899,KMDW,2,4,2003,22.550000,33.8,10.4,541.2,14.540000,26.5,0.6,349.0,20.270000,31.1,8.6,486.4,67,86,52,1621,986.980000,998.9,973.6,23687.4,100,100,100,2400,8.350000,23.1,-6.1,200.5,8.350000,23.1,-6.1,200.5,15,19,11,377,295,330,270,7090,0.000000,0.01,0.00,0.02,69,284,0,1658,60,242,0,1448,19,135,0,473,18,22,13,434
39899,KMDW,2,5,2003,17.000000,26.6,8.6,408.0,5.410000,13.6,-1.0,129.9,14.150000,22.7,7.1,339.5,55,66,45,1326,1000.700000,1002.9,999.2,24016.9,32,100,0,781,6.230000,17.5,-4.8,149.4,6.230000,17.5,-4.8,149.4,7,11,5,179,253,340,190,6080,0.000000,0.00,0.00,0.00,123,479,0,2959,37,164,0,900,205,777,0,4928,8,13,6,205
39899,KMDW,2,6,2003,27.470000,33.8,19.4,659.3,16.330000,26.7,9.4,391.8,23.980000,29.6,16.6,575.5,61,76,40,1475,999.250000,1000.9,997.9,23982.0,87,100,76,2098,18.680000,27.7,7.2,448.3,18.680000,27.7,7.2,448.3,8,15,4,193,282,360,210,6780,0.000000,0.00,0.00,0.00,76,310,0,1839,63,253,0,1524,32,189,0,781,9,17,5,222
39899,KMDW,2,7,2003,13.330000,17.6,8.6,319.8,3.720000,9.4,-2.6,89.2,11.200000,15.3,7.6,268.7,60,78,48,1446,1000.020000,1001.5,997.9,24000.5,63,100,1,1530,-0.590000,5.0,-6.3,-14.1,-0.590000,5.0,-6.3,-14.1,10,15,8,249,282,360,240,6780,0.000000,0.00,0.00,0.00,81,318,0,1965,66,256,0,1593,37,163,0,892,12,17,9,290
39899,KMDW,2,8,2003,20.600000,30.2,10.4,494.4,10.130000,17.5,-2.6,243.2,17.850000,26.3,8.1,428.3,60,73,47,1458,993.000000,997.5,990.2,23832.1,52,100,0,1259,7.440000,20.2,-4.1,178.6,7.440000,20.2,-4.1,178.6,12,16,8,299,243,290,210,5840,0.000000,0.00,0.00,0.00,99,420,0,2399,58,240,0,1408,101,541,0,2446,14,18,9,345
39899,KMDW,2,9,2003,16.480000,26.6,6.8,395.4,1.420000,11.0,-2.8,34.0,13.140000,22.0,5.4,315.3,46,66,29,1113,995.160000,998.5,988.6,23883.8,48,100,3,1156,5.150000,16.4,-5.9,123.5,5.150000,16.4,-5.9,123.5,8,15,3,197,256,310,200,6150,0.000000,0.00,0.00,0.00,134,530,0,3232,35,134,0,845,228,841,0,5483,9,17,3,227
39899,KMDW,2,10,2003,21.800000,28.4,10.4,523.2,11.890000,21.1,-1.0,285.3,19.220000,24.9,8.3,461.3,63,86,44,1514,988.590000,994.6,983.6,23726.2,92,100,72,2230,9.760000,17.5,-1.8,234.3,9.760000,17.5,-1.8,234.3,11,18,6,272,288,340,210,6930,0.000000,0.01,0.00,0.01,72,308,0,1744,64,260,0,1557,15,93,0,374,13,21,7,313
39899,KMDW,2,11,2003,17.530000,32.0,6.8,420.6,6.300000,24.7,-6.2,151.2,14.860000,28.3,4.8,356.7,57,80,47,1376,987.550000,993.6,978.9,23701.3,67,100,19,1626,3.350000,19.5,-10.0,80.5,3.350000,19.5,-10.0,80.5,13,23,4,333,255,310,210,6120,0.000000,0.04,0.00,0.11,121,526,0,2917,47,247,0,1141,167,784,0,4031,15,26,5,383
39899,KMDW,2,12,2003,14.230000,21.2,5.0,341.4,1.650000,6.2,-4.8,39.5,11.480000,17.3,3.5,275.6,51,66,41,1244,997.240000,999.5,992.9,23933.7,25,100,2,623,-1.020000,8.3,-13.6,-24.4,-1.020000,8.3,-13.6,-24.4,13,21,9,315,279,290,260,6700,0.000000,0.00,0.00,0.00,144,578,0,3464,33,137,0,813,246,910,0,5905,15,24,10,363
39899,KMDW,2,13,2003,22.250000,32.0,12.2,534.0,9.270000,15.7,2.4,222.5,18.720000,25.9,10.3,449.3,52,68,39,1258,998.890000,999.9,998.2,23973.4,1,7,0,30,13.100000,24.8,-0.2,314.4,13.100000,24.8,-0.2,314.4,7,10,0,174,274,330,10,6590,0.000000,0.00,0.00,0.00,145,588,0,3496,33,133,0,798,246,903,0,5916,8,12,0,199
39899,KMDW,2,14,2003,28.400000,33.8,19.4,681.6,20.260000,26.5,13.6,486.3,25.800000,30.5,17.6,619.2,72,93,55,1729,995.870000,997.9,993.2,23900.9,85,100,30,2043,20.060000,27.7,14.9,481.4,20.060000,27.7,14.9,481.4,9,17,3,219,102,200,50,2470,0.010000,0.06,0.00,0.19,83,316,0,1994,70,269,0,1695,29,197,0,718,10,20,3,251
39899,KMDW,2,15,2003,23.830000,28.4,19.4,571.8,15.530000,26.5,11.0,372.8,21.470000,27.7,16.9,515.3,69,93,62,1659,1003.010000,1007.5,996.5,24072.3,100,100,100,2400,8.170000,15.0,1.8,196.1,8.170000,15.0,1.8,196.1,20,25,18,492,56,60,50,1350,0.000000,0.02,0.00,0.04,73,317,0,1773,66,270,0,1593,14,81,0,338,23,29,21,566
39899,KMDW,2,16,2003,21.950000,26.6,17.6,526.8,13.350000,17.5,11.0,320.3,19.430000,23.5,15.6,466.2,64,74,58,1558,1004.420000,1007.2,1000.2,24106.1,97,100,93,2341,6.660000,13.4,0.1,159.9,6.660000,13.4,0.1,159.9,17,22,14,428,52,70,30,1250,0.000000,0.00,0.00,0.00,85,325,0,2047,71,264,0,1717,32,202,0,780,20,25,16,490
39899,KMDW,2,17,2003,25.360000,30.2,21.2,608.7,19.840000,22.9,15.7,476.1,23.720000,27.3,19.7,569.3,79,93,69,1918,996.650000,1000.2,994.6,23919.6,99,100,95,2379,15.920000,23.4,6.4,382.1,15.920000,23.4,6.4,382.1,8,16,3,207,78,220,0,1880,0.000000,0.00,0.00,0.00,83,323,0,1995,71,266,0,1723,22,126,0,550,9,18,3,238
39899,KMDW,2,18,2003,30.200000,35.6,24.8,724.8,25.830000,30.1,21.1,619.8,28.560000,32.6,23.7,685.5,84,93,75,2017,994.100000,994.9,993.2,23858.5,96,100,88,2326,20.540000,27.5,14.6,493.0,20.540000,27.5,14.6,493.0,10,15,6,256,219,240,200,5260,0.000000,0.00,0.00,0.00,82,332,0,1980,72,270,0,1731,19,105,0,473,12,17,7,297
39899,KMDW,2,19,2003,33.200000,39.2,26.6,796.8,20.500000,30.1,13.9,492.0,28.980000,33.3,23.5,695.5,60,86,44,1454,999.660000,1002.9,995.2,23991.8,56,100,2,1366,25.860000,33.6,17.5,620.6,25.860000,33.6,17.5,620.6,7,10,4,186,265,330,210,6380,0.000000,0.00,0.00,0.00,103,361,0,2483,77,277,0,1866,59,280,0,1427,8,12,5,214
39899,KMDW,2,20,2003,37.330000,48.2,28.4,895.8,23.000000,28.3,19.4,552.0,31.940000,38.7,26.1,766.6,58,75,32,1411,1000.570000,1003.2,996.2,24013.6,6,39,0,147,30.850000,42.6,21.2,740.4,30.850000,42.6,21.2,740.4,8,16,5,209,218,240,190,5240,0.000000,0.00,0.00,0.00,159,627,0,3831,36,143,0,878,256,909,0,6144,10,18,6,242
39899,KMDW,2,21,2003,37.180000,48.2,28.4,892.2,25.700000,31.9,17.6,616.7,32.730000,37.3,27.1,785.4,66,87,29,1597,990.350000,995.9,985.9,23768.4,84,100,43,2037,32.580000,44.1,22.2,782.0,32.580000,44.1,22.2,782.0,5,9,3,127,202,240,160,4850,0.000000,0.00,0.00,0.00,95,339,0,2295,75,273,0,1813,42,177,0,1012,6,10,3,148
39899,KMDW,2,22,2003,31.030000,35.6,23.0,744.6,26.200000,31.9,17.5,628.8,29.260000,34.0,21.4,702.3,82,93,74,1977,981.450000,985.6,978.3,23554.8,100,100,100,2400,19.580000,30.8,7.6,469.8,19.580000,30.8,7.6,469.8,16,24,3,394,101,360,0,2440,0.000000,0.00,0.00,0.00,51,208,0,1233,49,196,0,1176,4,44,0,99,18,28,3,453
39899,KMDW,2,23,2003,20.680000,26.6,14.0,496.2,10.730000,13.6,6.1,257.4,17.810000,22.0,12.0,427.5,59,68,42,1419,992.180000,996.9,983.9,23812.3,99,100,97,2391,9.530000,24.8,-1.4,228.8,9.530000,24.8,-1.4,228.8,9,17,1,235,199,360,0,4780,0.000000,0.00,0.00,0.00,92,343,0,2227,72,277,0,1729,45,205,0,1102,11,20,1,270
39899,KMDW,2,24,2003,18.200000,24.8,12.2,436.8,12.010000,17.5,0.9,288.3,16.600000,21.5,10.0,398.3,71,86,56,1723,1001.430000,1008.2,995.2,24034.3,89,100,51,2145,6.150000,17.9,-2.5,147.7,6.150000,17.9,-2.5,147.7,9,17,3,238,275,350,20,6600,0.000000,0.01,0.00,0.05,94,361,0,2277,73,282,0,1769,42,170,0,1031,11,20,3,276
39899,KMDW,2,25,2003,15.600000,17.6,12.7,374.4,7.280000,13.5,1.2,174.7,14.050000,16.4,12.0,337.3,64,84,41,1538,1007.940000,1009.9,1004.2,24190.5,47,100,10,1131,10.000000,14.8,7.3,240.1,10.000000,14.8,7.3,240.1,3,7,1,79,241,280,180,5800,0.000000,0.00,0.00,0.00,155,633,0,3730,51,272,0,1234,208,944,0,5005,3,8,1,85
39899,KMDW,2,26,2003,20.780000,28.4,14.0,498.8,10.850000,18.4,7.8,260.3,17.890000,25.6,12.2,429.4,59,73,39,1426,1000.330000,1003.9,996.9,24007.8,5,14,0,128,12.720000,20.4,5.1,305.3,12.720000,20.4,5.1,305.3,5,11,2,139,144,210,60,3470,0.000000,0.00,0.00,0.00,170,653,0,4085,45,190,0,1086,250,890,0,6003,6,13,2,161
39899,KMDW,2,27,2003,24.280000,30.2,17.6,582.6,12.720000,17.5,9.4,305.2,20.890000,25.4,15.3,501.3,57,67,43,1382,996.450000,997.2,995.2,23914.7,2,9,0,49,17.010000,22.5,10.4,408.2,17.010000,22.5,10.4,408.2,5,11,3,141,94,170,40,2270,0.000000,0.00,0.00,0.00,177,675,0,4253,41,153,0,991,266,960,0,6399,6,13,3,162
39899,KMDW,2,28,2003,29.830000,39.2,19.4,715.8,15.460000,19.3,11.1,371.0,25.300000,30.0,18.5,607.2,56,93,28,1363,996.870000,998.2,995.9,23924.9,53,100,4,1282,25.560000,35.9,14.3,613.4,25.560000,35.9,14.3,613.4,4,9,1,96,174,320,70,4190,0.000000,0.00,0.00,0.00,154,665,0,3699,51,267,0,1233,199,890,0,4782,4,10,1,106
39899,KMDW,3,1,2003,33.080000,37.4,28.4,793.8,24.210000,32.9,17.5,581.0,29.750000,33.0,25.6,714.1,71,94,52,1708,992.520000,996.5,988.7,23820.5,68,97,10,1640,26.840000,32.8,22.1,644.2,26.840000,32.8,22.1,644.2,6,14,3,163,210,260,160,5060,0.000000,0.01,0.00,0.01,114,406,0,2754,84,299,0,2021,58,234,0,1406,7,16,3,188
39899,KMDW,3,2,2003,23.870000,32.7,15.8,572.9,17.980000,30.6,6.2,431.4,22.230000,31.2,13.3,533.5,74,92,57,1797,993.110000,997.9,987.9,23834.6,98,100,91,2364,10.920000,21.8,3.4,262.0,10.920000,21.8,3.4,262.0,14,28,6,354,152,360,0,3660,0.000000,0.02,0.00,0.05,93,367,0,2235,74,297,0,1782,33,153,0,806,16,32,7,407
